Station Code,Station,Data Medicao,Station Code,"PRECIPITACAO TOTAL, DIARIO (AUT)(mm)","TEMPERATURA MAXIMA, DIARIA (AUT)(°C)","TEMPERATURA MEDIA, DIARIA (AUT)(°C)","TEMPERATURA MINIMA, DIARIA (AUT)(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%)",Station,Latitude,Longitude,Start Date,End Date
dados_A001_D_2000-05-06_2025-08-01,BRASILIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dados_A034_D_2008-01-30_2025-08-01,CATALAO,0.0,0.0,0.96,0.96,0.96,0.89,0.96,0.0,0.0,0.0,0.0,0.0
dados_A042_D_2017-07-18_2025-08-01,BRAZLANDIA,0.0,0.0,0.48,0.21,0.27,0.21,0.07,0.0,0.0,0.0,0.0,0.0
dados_A045_D_2008-10-02_2025-08-01,AGUAS EMENDADAS,0.0,0.0,3.42,0.48,2.87,0.68,0.68,0.0,0.0,0.0,0.0,0.0
dados_A046_D_2014-09-30_2025-08-01,GAMA (PONTE ALTA),0.0,0.0,1.3,0.62,0.96,0.55,0.27,0.0,0.0,0.0,0.0,0.0
dados_A047_D_2017-02-06_2025-08-01,PARANOA (COOPA-DF),0.0,0.0,3.7,0.96,3.63,0.89,0.89,0.0,0.0,0.0,0.0,0.0
dados_A101_D_2000-05-08_2025-08-01,MANAUS,0.0,0.0,2.33,0.27,1.71,0.21,0.27,0.0,0.0,0.0,0.0,0.0
dados_A201_D_2003-01-19_2025-08-01,BELEM,0.0,0.0,3.83,1.44,3.35,1.37,1.44,0.0,0.0,0.0,0.0,0.0
dados_A310_D_2004-11-15_2025-08-01,AREIA,0.0,0.0,0.07,0.07,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0
dados_A332_D_2007-08-23_2025-08-01,MORADA NOVA,0.0,0.0,0.89,0.34,0.75,0.34,6.71,0.0,0.0,0.0,0.0,0.0
dados_A401_D_2000-05-12_2025-08-01,SALVADOR,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dados_A433_D_2008-04-27_2025-08-01,BRUMADO,0.0,0.0,1.85,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dados_A507_D_2002-12-17_2025-08-01,UBERLANDIA,0.0,0.0,1.92,0.41,1.92,0.48,0.34,0.0,0.0,0.0,0.0,0.0
dados_A516_D_2006-07-15_2025-08-01,PASSOS,0.0,0.0,1.51,0.21,1.44,0.21,0.0,0.0,0.0,0.0,0.0,0.0
dados_A518_D_2007-05-25_2025-08-01,JUIZ DE FORA,0.0,0.0,1.78,1.71,1.85,1.71,1.64,0.0,0.0,0.0,0.0,0.0
dados_A520_D_2006-07-17_2025-08-01,CONCEICAO DAS ALAGOAS,0.0,0.0,1.23,0.82,1.16,0.75,0.82,0.0,0.0,0.0,0.0,0.0
dados_A521_D_2006-10-09_2025-08-01,BELO HORIZONTE - PAMPULHA,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dados_A522_D_2006-08-20_2025-08-01,SERRA DOS AIMORES,0.0,0.0,4.18,2.53,4.18,2.87,2.94,0.0,0.0,0.0,0.0,0.0
dados_A540_D_2007-07-31_2025-08-01,MANTENA,0.0,0.0,1.3,0.0,1.3,0.21,0.14,0.0,0.0,0.0,0.0,0.0
dados_A545_D_2007-07-03_2025-08-01,PIRAPORA,0.0,0.0,8.83,0.48,8.15,0.48,0.48,0.0,0.0,0.0,0.0,0.0
dados_A554_D_2007-05-23_2025-08-01,CARATINGA,0.0,0.0,1.92,0.41,1.71,0.89,0.34,0.0,0.0,0.0,0.0,0.0
dados_A557_D_2012-10-16_2025-08-01,CORONEL PACHECO,0.0,0.0,0.07,0.14,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0
dados_A570_D_2017-10-18_2025-08-01,OLIVEIRA,0.0,0.0,2.94,2.12,3.35,2.46,3.83,0.0,0.0,0.0,0.0,0.0
dados_A607_D_2006-09-24_2025-08-01,CAMPOS DOS GOYTACAZES,0.0,0.0,0.34,0.07,0.34,0.07,0.0,0.0,0.0,0.0,0.0,0.0
dados_A609_D_2006-09-28_2025-08-01,RESENDE,0.0,0.0,3.63,3.35,3.9,2.87,14.99,0.0,0.0,0.0,0.0,0.0
dados_A614_D_2006-10-26_2025-08-01,LINHARES,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0
dados_A617_D_2006-10-24_2025-08-01,ALEGRE,0.0,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dados_A621_D_2007-04-12_2025-08-01,RIO DE JANEIRO - VILA MILITAR,0.0,0.0,0.89,0.07,4.93,0.89,5.68,0.0,0.0,0.0,0.0,0.0
dados_A626_D_2016-06-02_2025-08-01,RIO CLARO,0.0,0.0,3.49,0.27,3.49,1.44,0.96,0.0,0.0,0.0,0.0,0.0
dados_A633_D_2017-02-09_2025-08-01,VENDA NOVA DO IMIGRANTE,0.0,0.0,2.12,0.27,7.46,0.21,6.3,0.0,0.0,0.0,0.0,0.0
dados_A636_D_2017-08-09_2025-08-01,RIO DE JANEIRO - JACAREPAGUA,0.0,0.0,0.75,0.21,0.75,0.34,0.14,0.0,0.0,0.0,0.0,0.0
dados_A701_D_2006-07-24_2025-08-01,SAO PAULO - MIRANTE,0.0,0.0,2.94,0.34,1.51,0.34,0.27,0.0,0.0,0.0,0.0,0.0
dados_A763_D_2017-05-14_2025-08-01,MARILIA,0.0,0.0,1.03,0.07,1.1,0.41,0.21,0.0,0.0,0.0,0.0,0.0
dados_A770_D_2019-07-02_2025-08-01,SAO SIMAO,0.0,0.0,6.23,0.34,5.48,0.27,0.27,0.0,0.0,0.0,0.0,0.0
dados_A801_D_2000-09-21_2025-08-01,PORTO ALEGRE - JARDIM BOTANICO,0.0,0.0,0.89,0.27,0.75,0.27,0.41,0.0,0.0,0.0,0.0,0.0
dados_A803_D_2001-11-25_2025-08-01,SANTA MARIA,0.0,0.0,2.46,1.1,1.85,1.03,0.82,0.0,0.0,0.0,0.0,0.0
dados_A805_D_2001-12-04_2025-08-01,SANTO AUGUSTO,0.0,0.0,1.78,0.34,1.3,0.27,2.46,0.0,0.0,0.0,0.0,0.0
dados_A809_D_2006-09-27_2025-08-01,URUGUAIANA,0.0,0.0,1.37,0.27,1.16,0.21,1.71,0.0,0.0,0.0,0.0,0.0
dados_A813_D_2006-09-29_2025-08-01,RIO PARDO,0.0,0.0,2.12,1.85,2.05,1.78,1.85,0.0,0.0,0.0,0.0,0.0
dados_A827_D_2007-01-03_2025-08-01,BAGE,0.0,0.0,1.71,0.82,1.78,1.03,0.89,0.0,0.0,0.0,0.0,0.0
dados_A831_D_2007-10-16_2025-08-01,QUARAI,0.0,0.0,3.42,1.23,3.63,1.1,0.55,0.0,0.0,0.0,0.0,0.0
dados_A835_D_2006-11-20_2025-08-01,MARINGA,0.0,0.0,4.52,1.1,4.52,1.51,0.55,0.0,0.0,0.0,0.0,0.0
dados_A839_D_2006-11-26_2025-08-01,PASSO FUNDO,0.0,0.0,1.64,0.41,1.71,0.82,0.62,0.0,0.0,0.0,0.0,0.0
dados_A840_D_2006-11-30_2025-08-01,BENTO GONCALVES,0.0,0.0,1.51,0.14,1.1,0.55,0.48,0.0,0.0,0.0,0.0,0.0
dados_A848_D_2008-05-30_2025-08-01,DIONISIO CERQUEIRA,0.0,0.0,6.02,3.9,6.02,3.9,6.57,0.0,0.0,0.0,0.0,0.0
dados_A853_D_2007-05-30_2025-08-01,CRUZ ALTA,0.0,0.0,2.87,0.62,2.33,0.68,0.75,0.0,0.0,0.0,0.0,0.0
dados_A854_D_2007-12-13_2025-08-01,FREDERICO WESTPHALEN,0.0,0.0,3.76,2.33,3.7,2.12,1.71,0.0,0.0,0.0,0.0,0.0
dados_A867_D_2008-09-27_2025-08-01,ARARANGUA,0.0,0.0,1.71,1.71,1.78,1.64,11.57,0.0,0.0,0.0,0.0,0.0
dados_A883_D_2012-12-12_2025-08-01,IBIRUBA,0.0,0.0,6.02,5.07,5.89,5.2,9.99,0.0,0.0,0.0,0.0,0.0
dados_A894_D_2016-03-31_2025-08-01,SERAFINA CORREA,0.0,0.0,2.33,0.75,2.4,0.68,0.55,0.0,0.0,0.0,0.0,0.0
dados_A897_D_2016-11-23_2025-08-01,CAMBARA DO SUL,0.0,0.0,1.1,0.55,1.1,0.68,0.68,0.0,0.0,0.0,0.0,0.0
dados_A898_D_2019-02-14_2025-08-01,CAMPOS NOVOS,0.0,0.0,3.35,1.37,3.29,1.3,0.82,0.0,0.0,0.0,0.0,0.0
dados_B806_D_2016-05-31_2025-08-01,COLOMBO,0.0,0.0,13.76,2.53,13.69,2.67,1.92,0.0,0.0,0.0,0.0,0.0
dados_F501_D_2013-12-26_2025-08-01,BELO HORIZONTE - CERCADINHO,0.0,0.0,0.34,0.75,0.89,0.75,0.21,0.0,0.0,0.0,0.0,0.0
