date,igr,precipitation_weekly_sum,rain_days,sequential_rain,temp_max_weekly_mean,temp_mean_weekly_mean,temp_min_weekly_mean,humidity_weekly_mean,lag_1_precipitation,lag_2_precipitation,lag_3_precipitation,lag_4_precipitation,lag_1_temp_mean,lag_2_temp_mean,lag_3_temp_mean,lag_4_temp_mean,lag_1_humidity,lag_2_humidity,lag_3_humidity,lag_4_humidity,change_temperature,percentile_temp_mean_weekly_mean,percentile_lag_temp_mean_weekly_mean,change_temperature_above75,change_precipitation,percentile_precipitation_weekly_sum,percentile_lag_precipitation_weekly_sum,change_precipitation_above75,change_humidity,percentile_humidity_weekly_mean,percentile_lag_humidity_weekly_mean,change_humidity_above75,interaction_temperature_precipitation,interaction_temperature_humidity,interaction_precipitation_humidity,interaction_temperature_precipitation_humidity,interaction_temperature_precipitation_above75,interaction_temperature_humidity_above75,interaction_precipitation_humidity_above75,interaction_temperature_precipitation_humidity_above75,extreme_weather_temperature,extreme_weather_precipitation,extreme_weather_humidity,season_summer,season_autumn,season_winter,season_spring,temperature_category_quantile_01,temperature_category_quantile_02,temperature_category_quantile_03,temperature_category_quantile_04,precipitation_occurrence
2021-01,Curitiba,7.4,3.0,3.0,23.266666666666666,18.633333333333336,15.933333333333335,87.7,,,,,,,,,,,,,0,0.6076555023923444,,0,0,0.3875598086124402,,0,0,0.6196172248803827,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2021-02,Curitiba,47.6,6.0,7.0,27.585714285714285,21.1,17.342857142857145,85.42857142857143,7.4,,,,18.633333333333336,,,,87.7,,,,0,0.868421052631579,0.6076555023923444,1,1,0.8277511961722488,0.3875598086124402,1,0,0.4354066985645933,0.6196172248803827,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2021-03,Curitiba,13.4,5.0,4.0,26.4,21.37142857142857,18.857142857142858,88.27142857142857,47.6,7.4,,,21.1,18.633333333333336,,,85.42857142857143,87.7,,,0,0.9043062200956937,0.868421052631579,0,0,0.4880382775119617,0.8277511961722488,0,0,0.6842105263157895,0.4354066985645933,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2021-04,Curitiba,63.4,5.0,8.0,23.2,19.642857142857142,17.87142857142857,91.61428571428571,13.4,47.6,7.4,,21.37142857142857,21.1,18.633333333333336,,88.27142857142857,85.42857142857143,87.7,,0,0.6985645933014354,0.9043062200956937,0,0,0.8899521531100478,0.4880382775119617,1,0,0.8995215311004785,0.6842105263157895,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
2021-05,Curitiba,40.6,7.0,8.0,26.542857142857144,21.142857142857142,18.357142857142858,87.77142857142857,63.4,13.4,47.6,7.4,19.642857142857142,21.37142857142857,21.1,18.633333333333336,91.61428571428571,88.27142857142857,85.42857142857143,87.7,0,0.8803827751196173,0.6985645933014354,1,0,0.7703349282296651,0.8899521531100478,0,0,0.631578947368421,0.8995215311004785,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2021-06,Curitiba,21.8,5.0,13.0,28.042857142857144,21.15714285714285,16.585714285714285,81.04285714285713,40.6,63.4,13.4,47.6,21.142857142857142,19.642857142857142,21.37142857142857,21.1,87.77142857142857,91.61428571428571,88.27142857142857,85.42857142857143,0,0.8899521531100478,0.8803827751196173,0,0,0.5933014354066986,0.7703349282296651,0,0,0.20095693779904306,0.631578947368421,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2021-07,Curitiba,9.4,3.0,3.0,25.457142857142856,19.0,14.385714285714286,85.38571428571429,21.8,40.6,63.4,13.4,21.15714285714285,21.142857142857142,19.642857142857142,21.37142857142857,81.04285714285713,87.77142857142857,91.61428571428571,88.27142857142857,0,0.6363636363636364,0.8899521531100478,0,0,0.41866028708133973,0.5933014354066986,0,0,0.42822966507177035,0.20095693779904306,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2021-08,Curitiba,5.4,2.0,2.0,27.414285714285715,20.7,15.242857142857144,78.60000000000001,9.4,21.8,40.6,63.4,19.0,21.15714285714285,21.142857142857142,19.642857142857142,85.38571428571429,81.04285714285713,87.77142857142857,91.61428571428571,1,0.8325358851674641,0.6363636363636364,1,0,0.3253588516746411,0.41866028708133973,0,0,0.11483253588516747,0.42822966507177035,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2021-09,Curitiba,56.8,3.0,2.0,24.642857142857142,20.28,16.842857142857145,88.41428571428571,5.4,9.4,21.8,40.6,20.7,19.0,21.15714285714285,21.142857142857142,78.60000000000001,85.38571428571429,81.04285714285713,87.77142857142857,0,0.7655502392344498,0.8325358851674641,0,0,0.8660287081339713,0.3253588516746411,1,0,0.7081339712918661,0.11483253588516747,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2021-10,Curitiba,0.6,1.0,1.0,24.775,19.7,17.15,89.96666666666665,56.8,5.4,9.4,21.8,20.28,20.7,19.0,21.15714285714285,88.41428571428571,78.60000000000001,85.38571428571429,81.04285714285713,0,0.7081339712918661,0.7655502392344498,0,0,0.16267942583732056,0.8660287081339713,0,1,0.8133971291866029,0.7081339712918661,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
