date_week,igr,count_hospitalization
2021-00,Abaetetuba,0
2021-00,Abaeté,0
2021-00,Acaraú,0
2021-00,Adamantina - Lucélia,0
2021-00,Afogados da Ingazeira,0
2021-00,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá,0
2021-00,Aimorés - Resplendor,1
2021-00,Alagoinhas,0
2021-00,Alegre,0
2021-00,Alfenas,0
2021-00,Almeirim - Porto de Moz,0
2021-00,Almenara,0
2021-00,Alta Floresta,0
2021-00,Altamira,0
2021-00,Além Paraíba,0
2021-00,Amambai,0
2021-00,Amarante - Água Branca - Regeneração,0
2021-00,Amparo,0
2021-00,Andradina,1
2021-00,Angra dos Reis,0
2021-00,Anápolis,0
2021-00,Apucarana,0
2021-00,Aquidauana - Anastácio,0
2021-00,Aracaju,0
2021-00,Aracati,0
2021-00,Araguatins,0
2021-00,Araguaína,0
2021-00,Arapiraca,0
2021-00,Araranguá,0
2021-00,Araraquara,0
2021-00,Araras,0
2021-00,Araripina,0
2021-00,Araxá,0
2021-00,Araçatuba,0
2021-00,Araçuaí,0
2021-00,Arcoverde,0
2021-00,Ariquemes,0
2021-00,Assis,0
2021-00,Atalaia,0
2021-00,Avaré,0
2021-00,Açailândia,0
2021-00,Açu,0
2021-00,Bacabal,1
2021-00,Bagé,0
2021-00,Balsas,0
2021-00,Barbacena,0
2021-00,Barra do Corda,0
2021-00,Barra do Garças,0
2021-00,Barras,0
2021-00,Barreiras,0
2021-00,Barreirinhas,0
2021-00,Barreiros - Sirinhaém,0
2021-00,Barretos,1
2021-00,Bauru,0
2021-00,Belo Horizonte,0
2021-00,Belo Jardim ¿ Pesqueira,0
2021-00,Belém,1
2021-00,Bento Gonçalves,0
2021-00,Birigui - Penápolis,0
2021-00,Blumenau,0
2021-00,Boa Vista,0
2021-00,Bom Jesus,0
2021-00,Bom Jesus da Lapa,0
2021-00,Botucatu,0
2021-00,Bragança,0
2021-00,Bragança Paulista,0
2021-00,Brasiléia,2
2021-00,Brejo Santo,0
2021-00,Breves,0
2021-00,Brumado,0
2021-00,Brusque,0
2021-00,Cabo Frio,0
2021-00,Cachoeira do Sul,0
2021-00,Cachoeiro de Itapemirim,0
2021-00,Cacoal,0
2021-00,Caicó,0
2021-00,Cajazeiras,0
2021-00,Caldas Novas-Morrinhos,0
2021-00,Camacan,0
2021-00,Camaquã,0
2021-00,Cametá,0
2021-00,Camocim,0
2021-00,Campina Grande,0
2021-00,Campinas,0
2021-00,Campo Belo,0
2021-00,Campo Grande,0
2021-00,Campo Maior,0
2021-00,Campo Mourão,2
2021-00,Campos dos Goytacazes,0
2021-00,Canguaretama,0
2021-00,Canindé,0
2021-00,Canto do Buriti,0
2021-00,Capanema,0
2021-00,Capelinha,0
2021-00,Capitão Poço,0
2021-00,Caracaraí,0
2021-00,Caraguatatuba - Ubatuba - São Sebastião,0
2021-00,Carangola,0
2021-00,Caratinga,0
2021-00,Carazinho,0
2021-00,Carpina,0
2021-00,Caruaru,1
2021-00,Cascavel,0
2021-00,Castanhal,0
2021-00,Cataguases,0
2021-00,Catalão,0
2021-00,Catanduva,0
2021-00,Catolé do Rocha - São Bento,0
2021-00,Caxambu - Baependi,0
2021-00,Caxias,1
2021-00,Caxias do Sul,0
2021-00,Caçador,0
2021-00,Ceres - Rialma - Goianésia,1
2021-00,Cerro Largo,0
2021-00,Chapadinha,0
2021-00,Chapecó,0
2021-00,Charqueadas - Triunfo - São Jerônimo,0
2021-00,Cianorte,0
2021-00,Coari,0
2021-00,Codó,0
2021-00,Colatina,0
2021-00,Colinas,0
2021-00,Colinas do Tocantins,0
2021-00,Conceição do Coité,1
2021-00,Concórdia,0
2021-00,Confresa - Vila Rica,2
2021-00,Conselheiro Lafaiete,0
2021-00,Cornélio Procópio ¿ Bandeirantes,0
2021-00,Corrente,0
2021-00,Corumbá,0
2021-00,Coxim,1
2021-00,Crateús,0
2021-00,Criciúma,0
2021-00,Cruz Alta,0
2021-00,Cruz das Almas,0
2021-00,Cruzeiro,0
2021-00,Cruzeiro do Sul,0
2021-00,Cuiabá,0
2021-00,Cuité - Nova Floresta,0
2021-00,Curitiba,0
2021-00,Curitibanos,0
2021-00,Currais Novos,0
2021-00,Cururupu,0
2021-00,Curvelo,0
2021-00,Cáceres,0
2021-00,Cícero Dantas,0
2021-00,Delmiro Gouveia,0
2021-00,Diamantina,0
2021-00,Diamantino,0
2021-00,Dianópolis,0
2021-00,Distrito Federal,0
2021-00,Divinópolis,1
2021-00,Dois Vizinhos,0
2021-00,Dores do Indaiá,0
2021-00,Dourados,1
2021-00,Dracena,0
2021-00,Eirunepé,1
2021-00,Encantado,0
2021-00,Erechim,0
2021-00,Escada - Ribeirão,0
2021-00,Esperantina,0
2021-00,Espinosa,0
2021-00,Estância,0
2021-00,Euclides da Cunha,0
2021-00,Eunápolis - Porto Seguro,0
2021-00,Feira de Santana,0
2021-00,Fernandópolis,0
2021-00,Flores de Goiás,0
2021-00,Floriano,0
2021-00,Florianópolis,0
2021-00,Formiga,0
2021-00,Fortaleza,4
2021-00,Foz do Iguaçu,2
2021-00,Franca,0
2021-00,Francisco Beltrão,0
2021-00,Frederico Westphalen,0
2021-00,Frutal,0
2021-00,Garanhuns,0
2021-00,Goiana ¿ Timbaúba,0
2021-00,Goiás - Itapuranga,0
2021-00,Goiânia,2
2021-00,Governador Nunes Freire,0
2021-00,Governador Valadares,0
2021-00,Guanambi,0
2021-00,Guanhães,0
2021-00,Guarabira,0
2021-00,Guarapuava,0
2021-00,Guaratinguetá,0
2021-00,Guaraí,0
2021-00,Guaxupé,0
2021-00,Gurupi,0
2021-00,Ibaiti,0
2021-00,Ibirama - Presidente Getúlio,0
2021-00,Icó,0
2021-00,Iguatu,0
2021-00,Ijuí,0
2021-00,Ilhéus ¿ Itabuna,0
2021-00,Imperatriz,0
2021-00,Inhumas - Itaberaí - Anicuns,0
2021-00,Ipatinga,0
2021-00,Ipiaú,0
2021-00,Iporá,0
2021-00,Irati,0
2021-00,Irecê,0
2021-00,Itabaiana,0
2021-00,Itaberaba,0
2021-00,Itabira,0
2021-00,Itacoatiara,0
2021-00,Itaituba,0
2021-00,Itajaí,0
2021-00,Itajubá,0
2021-00,Itapagé,0
2021-00,Itapecuru Mirim,0
2021-00,Itaperuna,0
2021-00,Itapetinga,0
2021-00,Itapetininga,0
2021-00,Itapeva,0
2021-00,Itapipoca,0
2021-00,Itaporanga,0
2021-00,Ituiutaba,0
2021-00,Itumbiara,0
2021-00,Ituporanga,0
2021-00,Iturama,0
2021-00,Ituverava,0
2021-00,Ivaiporã,0
2021-00,Jaciara,0
2021-00,Jacobina,0
2021-00,Jales,0
2021-00,Janaúba,0
2021-00,Januária,0
2021-00,Jardim,0
2021-00,Jaru,1
2021-00,Jataí-Mineiros,0
2021-00,Jaú,0
2021-00,Jequié,0
2021-00,Jeremoabo,0
2021-00,Ji-Paraná,0
2021-00,Joaçaba - Herval d'Oeste,0
2021-00,Joinville,0
2021-00,João Câmara,0
2021-00,João Monlevade,0
2021-00,João Pessoa,0
2021-00,Juara,0
2021-00,Juazeiro,0
2021-00,Juazeiro do Norte,0
2021-00,Juiz de Fora,0
2021-00,Jundiaí,0
2021-00,Juína,0
