"access_date";"content_main_theme";"access_state";"access_city";"count"
2021-01-01;Dengue;SP;SAO PAULO;5
2021-01-01;Dengue;PR;CURITIBA;2
2021-01-01;Dengue;MG;BELO HORIZONTE;3
2021-01-01;Dengue;AM;MANAUS;4
2021-01-01;Dengue;RJ;RIO DE JANEIRO;2
2021-01-01;Dengue;DF;BRASILIA;2
2021-01-01;Dengue;BA;SALVADOR;6
2021-01-01;Dengue;SP;RIO CLARO;1
2021-01-02;Dengue;SP;SAO BERNARDO DO CAMPO;2
2021-01-02;Dengue;AM;MANAUS;4
2021-01-02;Dengue;MG;BELO HORIZONTE;6
2021-01-02;Dengue;DF;BRASILIA;2
2021-01-02;Dengue;RJ;RIO DE JANEIRO;9
2021-01-02;Dengue;SP;SAO PAULO;6
2021-01-02;Dengue;RS;PORTO ALEGRE;2
2021-01-03;Dengue;BA;SALVADOR;4
2021-01-03;Dengue;SP;SAO PAULO;7
2021-01-03;Dengue;PR;CURITIBA;1
2021-01-03;Dengue;MG;BELO HORIZONTE;3
2021-01-03;Dengue;RJ;RIO DE JANEIRO;2
2021-01-04;Dengue;SP;GUARULHOS;1
2021-01-04;Dengue;BA;SALVADOR;1
2021-01-04;Dengue;RS;IJUI;1
2021-01-04;Dengue;AM;MANAUS;2
2021-01-04;Dengue;RS;PORTO ALEGRE;1
2021-01-04;Dengue;PR;CURITIBA;3
2021-01-04;Dengue;SP;SAO PAULO;9
2021-01-04;Dengue;PR;MARINGA;1
2021-01-04;Dengue;MG;BELO HORIZONTE;1
2021-01-05;Dengue;PR;FAZENDA RIO GRANDE;1
2021-01-05;Dengue;PR;CURITIBA;1
2021-01-05;Dengue;DF;BRASILIA;4
2021-01-05;Dengue;RS;PORTO ALEGRE;1
2021-01-05;Dengue;PR;MARINGA;3
2021-01-05;Dengue;SP;SAO PAULO;10
2021-01-05;Dengue;SP;LUPERCIO;1
2021-01-05;Dengue;MG;BELO HORIZONTE;6
2021-01-05;Dengue;AM;MANAUS;1
2021-01-05;Dengue;SP;BARUERI;1
2021-01-05;Dengue;PR;SAO JOSE DOS PINHAIS;1
2021-01-05;Dengue;RJ;RIO DE JANEIRO;2
2021-01-05;Dengue;SP;CRAVINHOS;1
2021-01-06;Dengue;SP;SAO PAULO;15
2021-01-06;Dengue;RS;PORTO ALEGRE;1
2021-01-06;Dengue;PR;MARINGA;1
2021-01-06;Dengue;BA;SALVADOR;9
2021-01-06;Dengue;MG;SERRA DOS AIMORES;1
2021-01-06;Dengue;RJ;DUQUE DE CAXIAS;2
2021-01-06;Dengue;MG;BELO HORIZONTE;2
2021-01-06;Dengue;PB;CAMPINA GRANDE;1
2021-01-06;Dengue;RJ;RIO DE JANEIRO;3
2021-01-06;Dengue;PA;BELEM;1
2021-01-06;Dengue;AM;MANAUS;2
2021-01-06;Dengue;PR;CURITIBA;3
2021-01-06;Dengue;DF;BRASILIA;2
2021-01-07;Dengue;RS;CANOAS;1
2021-01-07;Dengue;SP;SAO PAULO;14
2021-01-07;Dengue;DF;BRASILIA;3
