year;access_date_week;IGR;access_count;year_access;count_physician;rate_access_per_physician
2021;2021-00;Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá;0;2021;431;0.0
2021;2021-00;Alegre;0;2021;309;0.0
2021;2021-00;Araranguá;0;2021;502;0.0
2021;2021-00;Atalaia;0;2021;29;0.0
2021;2021-00;Bagé;0;2021;158;0.0
2021;2021-00;Belo Horizonte;12;2021;32062;3.7427484249267047
2021;2021-00;Belém;0;2021;7079;0.0
2021;2021-00;Bento Gonçalves;0;2021;545;0.0
2021;2021-00;Boa Vista;0;2021;89;0.0
2021;2021-00;Bragança Paulista;0;2021;24;0.0
2021;2021-00;Brumado;0;2021;246;0.0
2021;2021-00;Camacan;0;2021;2;0.0
2021;2021-00;Campina Grande;0;2021;2373;0.0
2021;2021-00;Campo Belo;0;2021;35;0.0
2021;2021-00;Campos dos Goytacazes;0;2021;1009;0.0
2021;2021-00;Caratinga;0;2021;716;0.0
2021;2021-00;Carazinho;0;2021;48;0.0
2021;2021-00;Cascavel;0;2021;36;0.0
2021;2021-00;Catalão;0;2021;250;0.0
2021;2021-00;Catanduva;0;2021;13;0.0
2021;2021-00;Caxias do Sul;0;2021;3731;0.0
2021;2021-00;Conceição do Coité;0;2021;33;0.0
2021;2021-00;Cruz Alta;0;2021;226;0.0
2021;2021-00;Curitiba;3;2021;16261;1.8449049873931491
2021;2021-00;Curitibanos;0;2021;10;0.0
2021;2021-00;Distrito Federal;4;2021;11128;3.5945363048166787
2021;2021-00;Eunápolis - Porto Seguro;0;2021;17;0.0
2021;2021-00;Frederico Westphalen;0;2021;238;0.0
2021;2021-00;Goiana ¿ Timbaúba;0;2021;730;0.0
2021;2021-00;Guarabira;0;2021;22;0.0
2021;2021-00;Guarapuava;0;2021;11;0.0
2021;2021-00;Gurupi;0;2021;32;0.0
2021;2021-00;Ijuí;0;2021;472;0.0
2021;2021-00;Imperatriz;0;2021;10;0.0
2021;2021-00;Itacoatiara;0;2021;14;0.0
2021;2021-00;Jaú;0;2021;172;0.0
2021;2021-00;Ji-Paraná;0;2021;16;0.0
2021;2021-00;Joaçaba - Herval d'Oeste;0;2021;659;0.0
2021;2021-00;Joinville;0;2021;33;0.0
2021;2021-00;Juiz de Fora;0;2021;2594;0.0
2021;2021-00;Linhares;0;2021;733;0.0
2021;2021-00;Maceió;0;2021;46;0.0
2021;2021-00;Manaus;8;2021;3961;20.19691996970462
2021;2021-00;Mantena;0;2021;118;0.0
2021;2021-00;Maringá;0;2021;2708;0.0
2021;2021-00;Marília;0;2021;1054;0.0
2021;2021-00;Monteiro;0;2021;5;0.0
2021;2021-00;Mossoró;0;2021;35;0.0
2021;2021-00;Natal;0;2021;34;0.0
2021;2021-00;Nazaré ¿ Maragogipe;0;2021;23;0.0
2021;2021-00;Nova Prata - Guaporé;0;2021;387;0.0
2021;2021-00;Oliveira;0;2021;431;0.0
2021;2021-00;Passo Fundo;0;2021;1722;0.0
2021;2021-00;Passos;0;2021;455;0.0
2021;2021-00;Patos;0;2021;27;0.0
2021;2021-00;Pinheiro;0;2021;189;0.0
2021;2021-00;Pirapora;0;2021;153;0.0
2021;2021-00;Piumhi;0;2021;36;0.0
2021;2021-00;Ponte Nova;0;2021;12;0.0
2021;2021-00;Porto Alegre;2;2021;15348;1.3031013812874641
2021;2021-00;Princesa Isabel;0;2021;12;0.0
2021;2021-00;Quirinópolis;0;2021;65;0.0
2021;2021-00;Resende;0;2021;509;0.0
2021;2021-00;Ribeirão Preto;0;2021;6135;0.0
2021;2021-00;Rio Claro;1;2021;189;52.910052910052904
2021;2021-00;Rio de Janeiro;13;2021;40419;3.2163091615329424
2021;2021-00;Russas - Limoeiro do Norte;0;2021;1039;0.0
2021;2021-00;Salvador;10;2021;12015;8.322929671244278
2021;2021-00;Santa Cruz do Sul;0;2021;1042;0.0
2021;2021-00;Santa Inês;0;2021;44;0.0
2021;2021-00;Santa Maria;0;2021;1110;0.0
2021;2021-00;Santa Maria da Vitoria;0;2021;13;0.0
2021;2021-00;Santana do Livramento;0;2021;89;0.0
2021;2021-00;Santos;0;2021;1071;0.0
2021;2021-00;Serra Talhada;0;2021;94;0.0
2021;2021-00;Soledade;0;2021;129;0.0
2021;2021-00;São Miguel do Oeste;0;2021;262;0.0
2021;2021-00;São Paulo;19;2021;73318;2.591450939741946
2021;2021-00;Teófilo Otoni;0;2021;555;0.0
2021;2021-00;Toledo;0;2021;42;0.0
2021;2021-00;Uberaba;0;2021;1886;0.0
2021;2021-00;Uberlândia;0;2021;3083;0.0
2021;2021-00;Uruguaiana;0;2021;222;0.0
2021;2021-00;Valença;0;2021;19;0.0
2021;2021-00;Vitória;0;2021;54;0.0
2021;2021-00;Vitória da Conquista;0;2021;14;0.0
2021;2021-00;Volta Redonda - Barra Mansa;0;2021;2694;0.0
2021;2021-01;Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá;0;2021;431;0.0
2021;2021-01;Alegre;1;2021;309;32.36245954692557
2021;2021-01;Araranguá;0;2021;502;0.0
2021;2021-01;Atalaia;0;2021;29;0.0
2021;2021-01;Bagé;0;2021;158;0.0
2021;2021-01;Belo Horizonte;23;2021;32062;7.173601147776184
2021;2021-01;Belém;4;2021;7079;5.650515609549371
2021;2021-01;Bento Gonçalves;0;2021;545;0.0
2021;2021-01;Boa Vista;0;2021;89;0.0
2021;2021-01;Bragança Paulista;0;2021;24;0.0
2021;2021-01;Brumado;0;2021;246;0.0
2021;2021-01;Camacan;0;2021;2;0.0
2021;2021-01;Campina Grande;2;2021;2373;8.428150021070376
2021;2021-01;Campo Belo;0;2021;35;0.0
2021;2021-01;Campos dos Goytacazes;0;2021;1009;0.0
2021;2021-01;Caratinga;0;2021;716;0.0
2021;2021-01;Carazinho;0;2021;48;0.0
2021;2021-01;Cascavel;0;2021;36;0.0
2021;2021-01;Catalão;0;2021;250;0.0
2021;2021-01;Catanduva;0;2021;13;0.0
2021;2021-01;Caxias do Sul;0;2021;3731;0.0
2021;2021-01;Conceição do Coité;0;2021;33;0.0
2021;2021-01;Cruz Alta;0;2021;226;0.0
2021;2021-01;Curitiba;14;2021;16261;8.609556607834696
2021;2021-01;Curitibanos;0;2021;10;0.0
2021;2021-01;Distrito Federal;18;2021;11128;16.175413371675052
2021;2021-01;Eunápolis - Porto Seguro;0;2021;17;0.0
