access_state,access_city,year_access,count_physician
PR,COLOMBO,2021,559
RS,CANELA,2022,266
RS,RONDA ALTA,2024,13
MS,PONTAL,2023,11
RN,VERA CRUZ,2022,11
ES,BOM JESUS DO NORTE,2021,28
MG,SAO DOMINGOS DAS DORES,2023,22
RS,SALTO DO JACUI,2023,12
RS,CAPIVARI DO SUL,2024,4
PB,JUNCO DO SERIDO,2023,36
MG,CARLOS CHAGAS,2021,32
MG,ARACITABA,2023,6
RS,GUAIBA,2023,322
MG,UBERABA,2024,1191
SP,MAIRIPORA,2023,236
RS,FREDERICO WESTPHALEN,2022,103
BA,ABAIRA,2022,30
BA,CANAPOLIS,2021,13
MG,CANDEIAS,2023,53
MG,SANTA RITA DE MINAS,2021,30
PR,TIJUCAS DO SUL,2021,11
AM,SAO PAULO,2021,26
MA,DAVINOPOLIS,2021,10
SP,COTIA,2022,830
MG,RIBEIRAO DAS NEVES,2022,988
RJ,PINHEIRAL,2021,44
CE,ALTO SANTO,2022,27
MG,ANDRELANDIA,2021,34
RJ,SAO FRANCISCO DE ITABAPOANA,2024,50
SP,SERTAOZINHO,2021,525
RJ,MAGE,2021,533
RS,TRES PALMEIRAS,2023,8
PR,CONTENDA,2023,34
SC,VARGEM BONITA,2023,6
RS,ESTEIO,2024,142
RS,CORONEL BARROS,2024,12
ES,JOAO NEIVA,2023,41
BA,SANTA LUZIA,2023,2
PR,QUATRO BARRAS,2022,57
MG,SETUBINHA,2023,5
MG,SANTA LUZIA,2023,849
MG,CARMO DO RIO CLARO,2022,34
RS,ALEGRETE,2022,65
PR,PAICANDU,2023,117
PR,TUNAS DO PARANA,2023,29
MG,VARZEA DA PALMA,2024,63
SC,HERVAL DOESTE,2022,44
MG,CARLOS CHAGAS,2023,17
ES,IBATIBA,2022,27
RS,PASSO DO SOBRADO,2023,6
ES,SANTA TERESA,2024,99
MG,OLIVEIRA,2022,303
BA,QUEIMADAS,2022,24
SC,MASSARANDUBA,2021,33
RS,HULHA NEGRA,2024,9
MG,SAO DOMINGOS DAS DORES,2021,21
MG,MATIAS BARBOSA,2023,28
SP,GUATAPARA,2024,9
RS,FORMIGUEIRO,2022,4
SP,TABOAO DA SERRA,2021,1126
SP,GUARULHOS,2022,3526
SP,POA,2024,307
MG,CARATINGA,2023,175
RS,FARROUPILHA,2022,172
SP,ITAQUAQUECETUBA,2023,630
RJ,ITABORAI,2021,559
RS,PALMITINHO,2022,15
MG,BOM JESUS DA PENHA,2024,13
MG,CATUJI,2024,4
MG,VARGEM BONITA,2021,36
RS,AUGUSTO PESTANA,2024,10
MG,PASSA VINTE,2021,5
MG,ITAMBACURI,2023,64
PB,BELEM,2023,64
PB,REMIGIO,2023,65
RJ,GUAPIMIRIM,2023,122
RJ,PIRAI,2023,83
MG,ITAOBIM,2024,37
ES,IBATIBA,2023,58
RJ,QUATIS,2022,37
PB,JUAZEIRINHO,2024,90
SP,FRANCO DA ROCHA,2023,189
RJ,SAO JOAO DA BARRA,2022,72
SC,PASSO DE TORRES,2023,26
RS,SAO MARCOS,2022,36
MG,SANTA BARBARA DO LESTE,2024,15
MG,SAO FRANCISCO DE PAULA,2022,16
RJ,VOLTA REDONDA,2024,981
MG,PASSOS,2021,169
MG,OLIVEIRA,2024,170
ES,ALEGRE,2023,95
RJ,PIRAI,2022,77
RS,RIO PARDO,2022,68
CE,PEREIRO,2021,63
CE,JAGUARETAMA,2021,142
MG,SAO DOMINGOS DAS DORES,2022,46
MG,BOM JESUS DO GALHO,2024,60
RN,CARAUBAS,2022,25
AL,BARRA DE SAO MIGUEL,2021,46
SP,SALESOPOLIS,2022,6
MG,UBERLANDIA,2024,2910
MA,SANTA LUZIA,2023,94
RS,RESTINGA SECA,2024,60
RJ,SEROPEDICA,2021,116
PR,SAO JOSE DOS PINHAIS,2021,1121
MG,PEDRO LEOPOLDO,2022,179
RS,FAXINAL DO SOTURNO,2023,27
RS,SANTANA DO LIVRAMENTO,2022,35
PR,FLORESTA,2022,55
PR,RIO BRANCO DO SUL,2021,98
MG,ITAIPE,2022,17
MG,RAPOSOS,2024,21
SP,GALIA,2022,24
PA,BRASILIA,2022,3
MG,INHAPIM,2022,33
TO,ALVORADA,2022,36
MG,OLIVEIRA FORTES,2024,8
SP,QUINTANA,2023,6
SP,BATATAIS,2024,46
RS,CRUZ ALTA,2021,96
SC,TURVO,2023,44
RS,ESPUMOSO,2024,55
MG,CARAI,2022,12
MG,INDIANOPOLIS,2022,69
BA,ABAIRA,2021,36
MG,ESMERALDAS,2023,124
MG,CLARAVAL,2023,13
PE,CACHOEIRINHA,2023,13
SP,SALESOPOLIS,2024,20
RS,PROTASIO ALVES,2023,8
PR,ITAMBE,2023,5
SP,RIBEIRAO PRETO,2024,3844
